timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477753.657,-29.297,27.832,25.391,1.953,1.953
1574477753.661,-18.555,24.902,29.297,-4.883,25.391
1574477753.665,-3.906,13.184,21.973,-21.973,51.270
1574477753.669,4.883,19.043,20.020,-12.207,45.898
1574477753.673,-14.648,32.227,22.949,-21.973,9.277
1574477753.677,-30.273,40.039,27.832,-27.344,13.184
1574477753.681,-18.066,42.480,25.879,-9.277,35.156
1574477753.685,-2.441,35.156,20.996,10.742,38.086
1574477753.689,8.301,30.762,12.695,8.301,46.387
1574477753.693,-10.742,35.156,23.926,-16.602,28.320
1574477753.696,-33.691,32.715,45.410,-20.020,46.387
1574477753.700,-22.461,24.902,42.480,2.930,52.734
1574477753.704,-5.371,23.438,30.762,12.695,19.043
1574477753.708,-7.812,25.391,28.809,-10.254,-24.902
1574477753.712,-13.184,26.855,27.832,-24.902,44.434
1574477753.716,-15.137,21.973,25.879,-15.137,50.781
1574477753.720,-20.996,11.719,33.691,-8.301,54.688
1574477753.724,-14.160,24.902,48.340,-2.441,15.625
1574477753.728,-6.836,38.086,31.250,-5.371,-42.969
1574477753.732,-5.859,36.133,19.531,-13.184,22.461
1574477753.735,-20.020,33.691,41.992,-7.324,31.250
1574477753.739,-38.086,26.855,37.598,-0.977,-5.859
1574477753.743,-31.250,24.414,23.438,-1.953,-5.859
1574477753.747,-23.926,22.461,31.250,10.254,46.875
1574477753.751,-21.484,14.648,35.645,7.812,65.918
1574477753.755,-18.555,10.742,29.785,-22.949,-10.254
1574477753.759,-9.766,21.973,32.715,-22.461,-15.137
1574477753.763,-1.465,33.203,42.480,-6.348,-11.719
1574477753.767,-13.672,30.273,34.668,-16.602,-29.297
1574477753.771,-18.555,28.320,26.855,-21.973,-2.441
1574477753.775,-10.254,33.203,26.855,-8.789,1.465
1574477753.778,-13.184,39.062,24.902,-8.789,-2.930
1574477753.782,-20.020,36.621,22.949,-14.648,-24.902
1574477753.786,-7.324,34.180,25.879,0.977,18.066
1574477753.790,-9.277,34.180,26.367,-3.418,-20.508
1574477753.794,-14.160,32.715,24.414,-8.301,-37.598
1574477753.798,-10.254,27.344,19.043,-17.578,57.129
1574477753.802,-8.789,20.996,22.461,-26.855,74.219
1574477753.806,-7.812,23.438,23.438,7.812,23.926
1574477753.810,-11.719,20.996,15.137,8.301,17.578
1574477753.814,-12.207,18.555,11.230,-15.137,37.598
1574477753.818,-16.113,30.273,19.043,-13.184,22.949
1574477753.821,-14.160,39.062,28.809,-5.859,3.418
1574477753.825,-8.301,34.180,31.738,5.859,22.949
1574477753.829,-12.207,26.367,34.180,5.371,54.688
1574477753.833,-13.184,24.414,33.203,3.418,13.672
1574477753.837,-15.625,25.879,26.855,15.625,-30.762
1574477753.841,-22.461,26.855,26.855,2.441,-50.293
1574477753.845,-18.555,28.809,21.973,-9.766,2.930
1574477753.849,-22.461,28.809,15.625,4.395,34.180
1574477753.853,-13.184,28.320,25.391,6.348,4.395
1574477753.857,-5.371,22.461,40.527,0.488,15.137
1574477753.860,-20.996,20.996,37.109,-13.184,-15.137
1574477753.864,-17.578,24.414,22.949,-11.719,57.617
1574477753.868,-11.230,30.273,23.438,8.301,115.723
1574477753.872,-20.508,31.738,24.414,15.625,72.266
