timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280166.273,-953.125,999.512,999.512,-1000.000,195.312
1575280166.277,-927.734,999.512,999.512,-625.977,-33.691
1575280166.281,433.105,999.512,999.512,735.840,212.402
1575280166.285,-828.125,999.512,999.512,-858.398,665.527
1575280166.289,754.883,999.512,999.512,663.574,627.930
1575280166.293,-595.703,999.512,999.512,-814.453,-91.797
1575280166.296,-1000.000,999.512,999.512,-840.820,-229.980
1575280166.300,208.496,999.512,999.512,636.719,39.551
1575280166.304,-898.438,999.512,999.512,-929.199,488.281
1575280166.308,-976.074,999.512,999.512,994.141,497.070
1575280166.312,-161.133,999.512,999.512,-342.773,48.828
1575280166.316,-1000.000,999.512,999.512,-838.867,-53.223
1575280166.320,164.551,999.512,999.512,757.812,-81.055
1575280166.324,-933.594,999.512,-994.141,-999.023,243.164
1575280166.328,-905.273,999.512,940.918,-856.934,437.012
1575280166.332,212.402,999.512,-901.855,248.535,222.168
1575280166.336,-1000.000,999.512,518.066,-507.812,44.434
1575280166.339,46.875,999.512,-792.969,909.180,-50.293
1575280166.343,-921.387,999.512,-1000.000,-939.941,56.641
1575280166.347,-913.086,999.512,-927.734,961.426,181.152
1575280166.351,270.020,999.512,-978.027,988.770,497.070
1575280166.355,-1000.000,999.512,-970.703,605.957,-188.965
1575280166.359,-172.852,999.512,-970.703,841.309,-371.094
1575280166.363,-965.332,999.512,-970.215,-983.398,224.121
1575280166.367,-887.207,999.512,-970.215,-989.258,304.199
1575280166.371,255.859,999.512,-970.215,985.840,431.641
1575280166.375,-1000.000,999.512,-970.215,-271.484,208.496
1575280166.378,-200.684,999.512,-970.215,181.152,-318.848
1575280166.382,-974.609,999.512,-975.586,-896.484,-376.465
1575280166.386,-895.996,999.512,-947.266,-938.965,322.266
1575280166.390,264.160,999.512,-960.938,532.715,815.918
1575280166.394,-1000.000,999.512,-961.426,-1000.000,308.594
1575280166.398,-525.391,999.512,165.527,-313.477,-175.293
1575280166.402,870.605,999.512,-916.016,-982.910,67.383
1575280166.406,-821.289,999.512,961.914,-874.512,148.926
1575280166.410,170.410,999.512,989.258,182.129,268.066
1575280166.414,-969.727,999.512,-997.070,-953.613,521.484
1575280166.418,-1000.000,999.512,999.512,-1000.000,100.098
1575280166.421,-55.664,999.512,999.512,-68.848,-477.539
1575280166.425,-815.918,999.512,999.512,669.434,-361.816
1575280166.429,-163.086,999.512,999.512,-854.980,202.637
1575280166.433,-1000.000,999.512,999.512,-970.703,446.777
1575280166.437,-1000.000,999.512,999.512,-1000.000,39.551
1575280166.441,-244.141,999.512,999.512,-498.047,-562.988
1575280166.445,-796.387,999.512,999.512,668.945,-508.301
